UserID,Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,Cluster,UMAP_1,UMAP_2
1000001,Yes,307.0,iOS and Android,38570.0,1,2,Financial,94.0,5993,8,Yes,11,No,1,0.0,8.0,4,11.819963,6.0329914
1000002,No,367.0,iOS,9765.0,1,1,Financial,61.0,5130,1,No,23,Yes,4,1.0,10.0,2,5.1985016,8.22336
1000003,Yes,277.0,iOS and Android,48055.0,1,2,Other,92.0,2090,6,Yes,15,No,2,0.0,7.0,2,11.792389,5.930987
1000004,No,247.0,iOS,48720.0,1,4,Financial,56.0,2909,1,Yes,11,No,3,0.0,8.0,2,12.7682705,0.9523221
1000005,No,202.0,iOS and Android,20685.0,1,1,Medical,40.0,3468,9,No,12,No,4,1.0,6.0,2,12.022832,4.3688135
1000006,No,240.0,iOS,35175.0,1,2,Financial,79.0,3068,0,No,13,No,3,0.0,8.0,2,13.537841,2.0040956
1000009,No,285.0,iOS,7560.0,23,3,Financial,44.0,9526,0,No,21,Yes,2,0.0,10.0,2,13.945387,4.125939
1000010,No,270.0,iOS and Android,45465.0,27,3,,94.0,5237,6,No,13,No,2,2.0,17.0,6,5.3208632,12.435465
1000011,No,262.0,iOS and Android,28315.0,16,3,Medical,84.0,2426,0,No,13,No,3,1.0,6.0,2,6.310671,8.790852
1000013,No,232.0,iOS and Android,23450.0,26,1,Financial,31.0,2911,1,No,17,No,4,1.0,5.0,2,5.281837,9.157692
1000014,No,255.0,iOS and Android,47110.0,19,2,Medical,93.0,2661,0,No,11,No,3,1.0,3.0,2,6.0694447,9.430316
1000015,Yes,210.0,iOS and Android,3605.0,24,3,Financial,50.0,2028,5,Yes,14,No,2,0.0,6.0,2,13.862538,4.8439484
1000016,No,217.0,iOS and Android,48615.0,21,4,Financial,51.0,9980,1,No,11,No,3,1.0,10.0,2,6.139009,10.239487
1000019,No,397.0,iOS and Android,42665.0,1,4,Financial,78.0,15427,2,No,16,No,3,0.0,31.0,3,6.472716,2.3268094
1000020,No,285.0,iOS and Android,12985.0,1,Three,Financial,45.0,3944,5,Yes,11,No,3,0.0,6.0,2,12.596342,3.8319278
1000021,No,180.0,ANDROID,23555.0,11,2,Other,96.0,4011,0,No,18,No,4,1.0,5.0,2,5.8437304,8.888171
1000022,Yes,270.0,iOS and Android,42630.0,1,4,Financial,82.0,3407,7,No,23,Yes,2,0.0,10.0,4,11.851311,5.9265957
1000023,No,255.0,iOS and Android,14665.0,1,4,Financial,53.0,11994,0,No,11,No,3,0.0,13.0,2,13.808042,4.0274696
1000024,No,157.0,iOS and Android,13685.0,15,2,Financial,96.0,1232,1,No,14,No,4,0.0,0.0,2,14.793885,1.4520268
